epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,19861.6,0.95784,0.73426,0.9641,0.56881,0.70433,0.57121,0.4081,1.13193,1.17349,1.05483,0.00384675,0.00128225,0.00384675,0.00128225,0.00384675,0.00128225,0.00384675,0.00128225
31,20290.1,0.94443,0.72034,0.95163,0.5504,0.70316,0.53544,0.38014,1.14198,1.19742,1.05843,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575
32,20725.8,0.92213,0.71527,0.95193,0.57002,0.67907,0.54825,0.38859,1.14473,1.22024,1.05445,0.00369825,0.00123275,0.00369825,0.00123275,0.00369825,0.00123275,0.00369825,0.00123275
33,21192.6,0.95719,0.72858,0.95606,0.53934,0.75895,0.53254,0.37238,1.15332,1.20325,1.06169,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
34,21622.3,0.9045,0.69172,0.94663,0.57531,0.6968,0.55509,0.39289,1.15521,1.18567,1.0587,0.00354975,0.00118325,0.00354975,0.00118325,0.00354975,0.00118325,0.00354975,0.00118325
35,22054.1,0.92116,0.70514,0.94206,0.561,0.70514,0.53224,0.37332,1.15668,1.22163,1.05352,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585
36,22503.8,0.90324,0.68882,0.9429,0.56626,0.75706,0.55804,0.3915,1.12904,1.17656,1.04609,0.00340125,0.00113375,0.00340125,0.00113375,0.00340125,0.00113375,0.00340125,0.00113375
37,22935.4,0.92326,0.70916,0.95012,0.5771,0.73258,0.56771,0.40421,1.12309,1.18007,1.0458,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
38,23361.6,0.91038,0.69307,0.95224,0.56412,0.78343,0.56867,0.39934,1.13688,1.16329,1.04746,0.00325275,0.00108425,0.00325275,0.00108425,0.00325275,0.00108425,0.00325275,0.00108425
39,23794.3,0.90492,0.68555,0.94978,0.55527,0.76183,0.56567,0.39416,1.15786,1.17546,1.05915,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595
40,24366,0.90184,0.69115,0.9433,0.55278,0.74011,0.55622,0.38503,1.18323,1.20428,1.06283,0.00310425,0.00103475,0.00310425,0.00103475,0.00310425,0.00103475,0.00310425,0.00103475
41,24823,0.88807,0.66739,0.93516,0.543,0.73635,0.55706,0.38772,1.15377,1.21112,1.05942,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
42,25252.3,0.90938,0.68614,0.93852,0.55189,0.70972,0.5655,0.39583,1.14572,1.17649,1.05233,0.00295575,0.00098525,0.00295575,0.00098525,0.00295575,0.00098525,0.00295575,0.00098525
43,26100.9,0.87198,0.65638,0.93373,0.56206,0.72693,0.56951,0.396,1.16087,1.19699,1.06049,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605
44,27244.8,0.8748,0.67622,0.9425,0.55935,0.73151,0.56109,0.38379,1.16095,1.19222,1.05454,0.00280725,0.00093575,0.00280725,0.00093575,0.00280725,0.00093575,0.00280725,0.00093575
45,28405.3,0.89373,0.67076,0.94958,0.55281,0.73258,0.56645,0.3922,1.15411,1.18765,1.04931,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
46,29709.4,0.85853,0.6594,0.94107,0.5597,0.71375,0.572,0.4018,1.13682,1.17175,1.04659,0.00265875,0.00088625,0.00265875,0.00088625,0.00265875,0.00088625,0.00265875,0.00088625
47,30164.2,0.88156,0.66391,0.93793,0.5487,0.75706,0.57036,0.40615,1.13191,1.18495,1.04908,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615
48,30615.3,0.89472,0.68046,0.95074,0.55086,0.72881,0.56783,0.39952,1.14416,1.20537,1.05641,0.00251025,0.00083675,0.00251025,0.00083675,0.00251025,0.00083675,0.00251025,0.00083675
49,31079.9,0.86563,0.64172,0.9273,0.55109,0.73982,0.55908,0.39694,1.11902,1.19256,1.04648,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
50,31514.7,0.858,0.64009,0.93171,0.56283,0.73635,0.5659,0.39877,1.12687,1.20562,1.04413,0.00236175,0.00078725,0.00236175,0.00078725,0.00236175,0.00078725,0.00236175,0.00078725
51,1055.11,0.87537,0.65625,0.93184,0.54528,0.73635,0.54829,0.38289,1.14557,1.20298,1.05143,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625
52,1570.26,0.85672,0.65147,0.94228,0.5635,0.742,0.56054,0.3944,1.1254,1.20654,1.04663,0.00221325,0.00073775,0.00221325,0.00073775,0.00221325,0.00073775,0.00221325,0.00073775
53,2047.31,0.84912,0.63644,0.92941,0.55352,0.74243,0.56275,0.3979,1.12261,1.19027,1.04419,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
54,2523.77,0.83078,0.62598,0.92568,0.564,0.74059,0.57305,0.40536,1.13521,1.19314,1.04388,0.00206475,0.00068825,0.00206475,0.00068825,0.00206475,0.00068825,0.00206475,0.00068825
55,3011.51,0.84357,0.62163,0.9255,0.58252,0.73635,0.57545,0.4067,1.14679,1.19198,1.04702,0.0019905,0.0006635,0.0019905,0.0006635,0.0019905,0.0006635,0.0019905,0.0006635
56,3631.42,0.85565,0.6212,0.9235,0.57673,0.74576,0.57985,0.40912,1.14143,1.19551,1.04945,0.00191625,0.00063875,0.00191625,0.00063875,0.00191625,0.00063875,0.00191625,0.00063875
57,4103.44,0.83636,0.62598,0.92317,0.56837,0.73156,0.56929,0.40001,1.15436,1.20056,1.05252,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
58,4596.65,0.84096,0.61695,0.92547,0.5894,0.69868,0.57479,0.40343,1.15317,1.20875,1.05015,0.00176775,0.00058925,0.00176775,0.00058925,0.00176775,0.00058925,0.00176775,0.00058925
59,5114.75,0.81044,0.60273,0.91936,0.56649,0.72128,0.56293,0.40001,1.13863,1.18907,1.04404,0.0016935,0.0005645,0.0016935,0.0005645,0.0016935,0.0005645,0.0016935,0.0005645
60,5583,0.82679,0.61646,0.92215,0.58161,0.71375,0.5699,0.40225,1.15761,1.19641,1.04736,0.00161925,0.00053975,0.00161925,0.00053975,0.00161925,0.00053975,0.00161925,0.00053975
61,6067.06,0.8242,0.61272,0.92282,0.5595,0.72693,0.56387,0.39835,1.15182,1.20577,1.04932,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
62,6541.59,0.82302,0.60788,0.92697,0.56066,0.7194,0.56413,0.401,1.1355,1.20119,1.04648,0.00147075,0.00049025,0.00147075,0.00049025,0.00147075,0.00049025,0.00147075,0.00049025
63,7051.34,0.84558,0.61895,0.92402,0.5678,0.72693,0.56784,0.40293,1.1405,1.19428,1.04895,0.0013965,0.0004655,0.0013965,0.0004655,0.0013965,0.0004655,0.0013965,0.0004655
64,8276.52,0.80207,0.59326,0.91251,0.55182,0.73737,0.56318,0.39832,1.15824,1.20579,1.05104,0.00132225,0.00044075,0.00132225,0.00044075,0.00132225,0.00044075,0.00132225,0.00044075
65,9735.71,0.79243,0.60242,0.9173,0.56845,0.72881,0.57511,0.40518,1.15505,1.2068,1.04724,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
66,10700,0.83562,0.60406,0.91206,0.56914,0.73823,0.57305,0.40381,1.14891,1.21137,1.04762,0.00117375,0.00039125,0.00117375,0.00039125,0.00117375,0.00039125,0.00117375,0.00039125
67,11214.4,0.81391,0.59929,0.9272,0.55894,0.75895,0.57365,0.40408,1.14275,1.2325,1.04554,0.0010995,0.0003665,0.0010995,0.0003665,0.0010995,0.0003665,0.0010995,0.0003665
68,11701.9,0.80157,0.58772,0.91274,0.55342,0.73258,0.5785,0.40656,1.1433,1.23487,1.04855,0.00102525,0.00034175,0.00102525,0.00034175,0.00102525,0.00034175,0.00102525,0.00034175
69,12186,0.80047,0.5873,0.91289,0.57561,0.70242,0.57323,0.40549,1.14114,1.22852,1.05046,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
70,12669.1,0.78142,0.58561,0.91385,0.57355,0.70433,0.55773,0.39375,1.16231,1.24122,1.05484,0.00087675,0.00029225,0.00087675,0.00029225,0.00087675,0.00029225,0.00087675,0.00029225
71,13136.4,0.81916,0.64717,0.92809,0.55458,0.7194,0.55514,0.3907,1.16931,1.26616,1.06361,0.0008025,0.0002675,0.0008025,0.0002675,0.0008025,0.0002675,0.0008025,0.0002675
72,13596.3,0.80419,0.62443,0.92408,0.56202,0.73463,0.56812,0.40047,1.16403,1.25484,1.06659,0.00072825,0.00024275,0.00072825,0.00024275,0.00072825,0.00024275,0.00072825,0.00024275
73,14075.2,0.81085,0.62287,0.92478,0.55969,0.72128,0.57081,0.40077,1.15801,1.25071,1.06591,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
74,14539.5,0.77518,0.59977,0.91914,0.56965,0.73258,0.56797,0.39853,1.16134,1.24955,1.06402,0.00057975,0.00019325,0.00057975,0.00019325,0.00057975,0.00019325,0.00057975,0.00019325
75,15033.4,0.79433,0.61369,0.91638,0.5606,0.72505,0.55034,0.38762,1.15947,1.26589,1.06298,0.0005055,0.0001685,0.0005055,0.0001685,0.0005055,0.0001685,0.0005055,0.0001685
76,15897.8,0.77933,0.59861,0.92358,0.54896,0.73258,0.54142,0.38,1.16671,1.27956,1.06149,0.00043125,0.00014375,0.00043125,0.00014375,0.00043125,0.00014375,0.00043125,0.00014375
77,16364.7,0.78013,0.59721,0.9152,0.56271,0.68738,0.53487,0.3777,1.16132,1.28673,1.06157,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
78,16825.2,0.77914,0.59635,0.9155,0.56442,0.70056,0.53539,0.37518,1.15722,1.29693,1.0643,0.00028275,9.425e-05,0.00028275,9.425e-05,0.00028275,9.425e-05,0.00028275,9.425e-05
79,17294.6,0.7854,0.59685,0.91716,0.5535,0.7081,0.53155,0.37254,1.16042,1.29359,1.06736,0.0002085,6.95e-05,0.0002085,6.95e-05,0.0002085,6.95e-05,0.0002085,6.95e-05
80,17765.8,0.77901,0.60517,0.91684,0.56909,0.70245,0.54139,0.37848,1.16232,1.29246,1.0634,0.00013425,4.475e-05,0.00013425,4.475e-05,0.00013425,4.475e-05,0.00013425,4.475e-05
